0 0 0 0 
1 0.064633 0 0 
2 0.129266 0 0 
3 0.193899 0 0 
4 0.258532 0 0 
5 0.323165 0 0 
6 0.387798 0 0 
7 0.452431 0 0 
8 0.517064 0 0 
9 0.581697 0 0 
10 0.64633 0 0 
11 0.710963 0 0 
12 0.775596 0 0 
13 0.84023 0.000658551 0.000388131 
14 0.904863 0.14707 0.00753998 
15 0.969496 1.0598 0.0231183 
16 1.03413 1.94983 0.0346263 
17 1.09876 2.11081 0.0438739 
18 1.16339 1.98509 0.0333632 
19 1.22803 1.75712 0.0328537 
20 1.29266 1.59414 0.0284387 
21 1.35729 1.45116 0.0281564 
22 1.42193 1.29526 0.0237408 
23 1.48656 1.22326 0.0221848 
24 1.55119 1.19108 0.0195746 
25 1.61583 1.14326 0.0169413 
26 1.68046 1.10789 0.0184574 
27 1.74509 1.08829 0.0182102 
28 1.80973 1.05119 0.0156157 
29 1.87436 1.03404 0.0157908 
30 1.93899 1.01918 0.0172677 
31 2.00362 1.0099 0.0165143 
32 2.06826 1.00846 0.0146377 
33 2.13289 0.995682 0.0154406 
34 2.19752 1.0012 0.0135969 
35 2.26216 1.00662 0.0147509 
36 2.32679 1.02204 0.0141631 
37 2.39142 1.02073 0.014444 
38 2.45606 1.00376 0.013801 
39 2.52069 0.994673 0.0114397 
40 2.58532 0.984885 0.0111443 
41 2.64995 0.994938 0.00986586 
42 2.71459 0.9976 0.0103805 
43 2.77922 1.00267 0.0103978 
44 2.84385 1.00661 0.0113988 
45 2.90849 1.00575 0.0111934 
46 2.97312 1.00038 0.00915029 
47 3.03775 1.0027 0.00955812 
48 3.10239 1.00007 0.00930266 
49 3.16702 0.992266 0.00886416 
50 3.23165 0.985789 0.00843308 
51 3.29629 0.999684 0.00873863 
52 3.36092 0.993423 0.00865907 
53 3.42555 0.993438 0.00856548 
54 3.49018 0.989132 0.00999879 
55 3.55482 0.983019 0.00902725 
56 3.61945 0.983373 0.00934862 
57 3.68408 0.97605 0.00817523 
58 3.74872 0.97131 0.00751275 
59 3.81335 0.972157 0.00758518 
60 3.87798 0.976762 0.00733752 
61 3.94262 0.984405 0.0085687 
62 4.00725 0.981671 0.00798319 
63 4.07188 0.979661 0.00762744 
64 4.13651 0.979698 0.00785329 
65 4.20115 0.989106 0.00845589 
66 4.26578 0.974578 0.00687383 
67 4.33041 0.972308 0.00655159 
68 4.39505 0.969007 0.00712852 
69 4.45968 0.97354 0.00715838 
70 4.52431 0.981786 0.0067554 
71 4.58895 0.979806 0.00642899 
72 4.65358 0.984848 0.00631377 
73 4.71821 0.976149 0.00571227 
74 4.78285 0.980517 0.00564423 
75 4.84748 0.972963 0.00569644 
76 4.91211 0.984338 0.00503765 
77 4.97674 0.987857 0.00562502 
78 5.04138 0.982613 0.00543006 
79 5.10601 0.982311 0.00520289 
80 5.17064 0.987166 0.00514214 
81 5.23528 0.991611 0.00560369 
82 5.29991 0.985252 0.00606136 
83 5.36454 0.983683 0.00497929 
84 5.42918 0.981101 0.00567733 
85 5.49381 0.983472 0.00561154 
86 5.55844 0.984823 0.00562487 
87 5.62307 0.981214 0.00514129 
88 5.68771 0.988798 0.00565527 
89 5.75234 0.988873 0.00477103 
90 5.81697 0.983402 0.00549611 
91 5.88161 0.982141 0.00507184 
92 5.94624 0.988988 0.00478845 
93 6.01087 0.991155 0.00464933 
94 6.07551 0.989195 0.00458317 
95 6.14014 0.97889 0.00533399 
96 6.20477 0.985653 0.00517724 
97 6.2694 0.986009 0.00452549 
98 6.33404 0.987511 0.00446748 
99 6.39867 0.991153 0.0039013 
