0.956045 0.914023 0
1.116 1.27105 0.159959
1.25873 1.64221 0.17
1.3878 2.01933 0.17638
1.50462 2.39312 0.179753
1.6153 2.77813 0.183822
1.71891 3.16388 0.18674
1.8164 3.5489 0.188832
1.90725 3.92553 0.189708
1.99533 4.31025 0.191174
2.08168 4.707 0.193287
2.16484 5.10506 0.19506
2.24479 5.50213 0.196436
2.32065 5.89017 0.19705
2.39517 6.2857 0.198003
2.46575 6.66921 0.198207
2.53523 7.05928 0.198726
2.60531 7.46788 0.200037
2.6712 7.85787 0.200359
2.7357 8.24956 0.200724
2.79961 8.6486 0.201341
2.86106 9.03883 0.201564
2.92067 9.4246 0.201616
2.98009 9.81918 0.201972
3.03614 10.1942 0.201668
3.092 10.577 0.201649
3.14646 10.9562 0.201534
3.20215 11.3558 0.202029
3.25608 11.7475 0.202262
3.30705 12.1192 0.201942
3.3581 12.4995 0.20188
3.4079 12.8751 0.201713
3.4571 13.2522 0.201602
3.50778 13.6516 0.202043
3.55567 14.0294 0.201945
3.60373 14.4158 0.202055
3.65016 14.7916 0.201928
3.69661 15.174 0.201956
3.74277 15.5597 0.202054
3.78904 15.9529 0.202299
3.83457 16.344 0.20249
3.8793 16.732 0.202608
3.9231 17.1152 0.202631
3.96653 17.4998 0.20268
4.00955 17.885 0.20274
4.05217 18.2711 0.202813
4.09494 18.6643 0.203008
4.13734 19.0583 0.203206
4.17794 19.4355 0.203116
4.21804 19.8114 0.203012
4.25841 20.1954 0.203044
4.29883 20.585 0.203163
4.3388 20.9736 0.203262
4.37814 21.3587 0.203304
4.41824 21.7584 0.203562
4.45744 22.151 0.203703
4.49641 22.5449 0.203856
4.5354 22.9436 0.20407
4.57262 23.3227 0.204004
4.60971 23.7042 0.203976
4.64552 24.0723 0.203776
4.68368 24.477 0.204062
4.72061 24.8685 0.204164
4.75714 25.2584 0.204242
4.79293 25.6418 0.204237
4.82862 26.0275 0.20426
4.86477 26.4237 0.20441
4.89976 26.8068 0.204399
4.93439 27.1884 0.20437
4.96864 27.5679 0.204321
5.00363 27.9619 0.204438
5.03757 28.344 0.204417
5.07136 28.727 0.204408
5.10506 29.1123 0.204425
5.13871 29.5 0.204468
5.17185 29.8835 0.204464
5.20494 30.2693 0.204486
5.23817 30.6607 0.204565
5.27016 31.0357 0.204476
5.3031 31.429 0.204573
5.33522 31.8124 0.204569
5.36764 32.2037 0.204643
5.39916 32.5838 0.204606
5.43073 32.9675 0.204605
5.46268 33.3604 0.204693
5.49374 33.7417 0.204669
5.52472 34.1247 0.204661
5.55667 34.5267 0.20483
5.587 34.9046 0.204774
5.61846 35.3042 0.204915
5.64862 35.6848 0.204882
5.67923 36.0757 0.204942
5.70854 36.4476 0.204835
5.73792 36.823 0.204762
5.76786 37.2107 0.204796
5.7977 37.5993 0.204836
5.82757 37.9912 0.204903
5.85644 38.3682 0.204846
5.88611 38.7618 0.204925
5.91602 39.1622 0.205059
