1 2663.3964
2 1551.6486
3 1267.924
4 816.80126
5 532.39619
6 491.22304
7 465.38759
8 448.71809
9 437.29967
10 428.7342
11 418.87105
12 416.21785
13 415.89044
14 415.65549
15 415.4314
16 415.19343
17 414.88007
18 414.63321
19 414.35146
20 414.21275
21 414.01202
22 413.75402
23 413.40375
24 413.13368
25 412.796
26 412.37356
27 412.05586
28 411.67496
29 411.28764
30 410.94707
31 410.54966
32 410.35404
33 409.97402
34 409.56965
35 409.3087
36 408.77403
37 408.43019
38 408.15551
39 407.71468
40 407.26823
41 406.63299
42 406.10263
43 405.74236
44 405.47596
45 405.15458
46 404.85349
47 404.48965
48 404.2923
49 404.22634
50 404.22311
51 404.1946
52 404.17676
53 404.17877
54 404.15997
55 404.11896
56 404.11234
57 404.10857
58 404.08842
59 404.06146
60 404.07579
61 404.06155
62 404.03586
63 404.03401
64 404.03569
65 404.03244
66 404.03358
67 404.03277
68 404.03206
69 404.03066
70 404.03063
71 404.03499
72 404.0301
73 404.03341
74 404.03519
75 404.03131
76 404.02831
77 404.03117
78 404.02964
79 404.02987
80 404.02463
81 404.02449
82 404.02457
83 404.02083
84 404.02017
85 404.02003
86 404.0204
87 404.01579
88 404.01727
89 404.01751
90 404.01049
91 404.01578
92 404.00856
93 404.00823
94 404.00744
95 404.00237
96 403.99552
97 403.99197
98 403.99198
99 403.98975
100 403.98682
