0 0 0 0 
1 0.0230664 0 0 
2 0.0461329 0 0 
3 0.0691993 0 0 
4 0.0922657 0 0 
5 0.115332 0 0 
6 0.138399 0 0 
7 0.161465 0 0 
8 0.184531 0 0 
9 0.207598 0 0 
10 0.230664 0 0 
11 0.253731 0 0 
12 0.276797 0 0 
13 0.299864 0 0 
14 0.32293 0 0 
15 0.345996 0 0 
16 0.369063 0 0 
17 0.392129 0 0 
18 0.415196 0 0 
19 0.438262 0 0 
20 0.461329 0 0 
21 0.484395 0 0 
22 0.507461 0 0 
23 0.530528 0 0 
24 0.553594 0 0 
25 0.576661 0 0 
26 0.599727 0 0 
27 0.622794 0 0 
28 0.64586 0 0 
29 0.668926 0 0 
30 0.691993 0 0 
31 0.715059 0 0 
32 0.738126 0 0 
33 0.761192 0 0 
34 0.784259 0 0 
35 0.807325 0 0 
36 0.830391 0 0 
37 0.853458 0 0 
38 0.876524 7.21677e-05 3.91349e-05 
39 0.899591 0.00341541 0.000263909 
40 0.922657 0.0499344 0.00104391 
41 0.945724 0.304601 0.00207719 
42 0.96879 1.03919 0.00411933 
43 0.991856 2.27922 0.00719196 
44 1.01492 3.63848 0.00798053 
45 1.03799 4.59743 0.00908849 
46 1.06106 4.83828 0.00944731 
47 1.08412 4.43788 0.0103469 
48 1.10719 3.62271 0.00845103 
49 1.13026 2.68917 0.00735692 
50 1.15332 1.82771 0.00613405 
51 1.17639 1.15292 0.00482121 
52 1.19945 0.669975 0.003643 
53 1.22252 0.365866 0.00299848 
54 1.24559 0.188109 0.00196283 
55 1.26865 0.0925337 0.00160984 
56 1.29172 0.0515941 0.0011953 
57 1.31479 0.0424677 0.00113492 
58 1.33785 0.0620954 0.00133488 
59 1.36092 0.109945 0.00170499 
60 1.38399 0.19249 0.00236781 
61 1.40705 0.308914 0.0023383 
62 1.43012 0.457163 0.00267244 
63 1.45319 0.622911 0.00281228 
64 1.47625 0.791352 0.00340447 
65 1.49932 0.91047 0.00394337 
66 1.52238 0.958838 0.00433306 
67 1.54545 0.918426 0.00474229 
68 1.56852 0.808529 0.00374581 
69 1.59158 0.638573 0.00249102 
70 1.61465 0.465616 0.00239127 
71 1.63772 0.325074 0.0024496 
72 1.66078 0.226495 0.00203624 
73 1.68385 0.19972 0.00231199 
74 1.70692 0.266821 0.00267381 
75 1.72998 0.448215 0.00322698 
76 1.75305 0.764525 0.00366514 
77 1.77612 1.21076 0.00363962 
78 1.79918 1.73083 0.0037297 
79 1.82225 2.21734 0.00459799 
80 1.84531 2.5668 0.00540034 
81 1.86838 2.68567 0.00613805 
82 1.89145 2.53178 0.00690698 
83 1.91451 2.16997 0.00483503 
84 1.93758 1.69136 0.00314497 
85 1.96065 1.20946 0.0034398 
86 1.98371 0.81777 0.00318828 
87 2.00678 0.563776 0.00279275 
88 2.02985 0.449485 0.00284785 
89 2.05291 0.474144 0.00275897 
90 2.07598 0.596088 0.0026029 
91 2.09905 0.760015 0.00215314 
92 2.12211 0.905142 0.00237936 
93 2.14518 0.994706 0.00333623 
94 2.16824 0.989547 0.0026886 
95 2.19131 0.915034 0.00269772 
96 2.21438 0.79174 0.00254479 
97 2.23744 0.66623 0.00266617 
98 2.26051 0.587691 0.002976 
99 2.28358 0.587591 0.00325191 
